id_registro,fecha,mes,dia_semana,dia_semana_num,hora,franja_horaria,es_fin_semana,es_feriado,administracion_zonal,tipo_incidente,intensidad_esperada,conteo_incidentes,alta_demanda
1,2025-04-13,4,domingo,6,23,Noche,1,0,Manuela Sáenz,Robo de vehículos,2.8350000000000004,0,0
2,2025-12-15,12,lunes,0,9,Mañana,0,0,Los Chillos,Emergencia comunitaria,1.2354749999999999,1,0
3,2025-09-28,9,domingo,6,6,Mañana,1,0,Quitumbe,Emergencia comunitaria,2.3562000000000003,2,0
4,2025-04-17,4,jueves,3,16,Tarde,0,0,Eloy Alfaro,Incidente de tránsito,2.423925,3,0
5,2025-03-13,3,jueves,3,3,Madrugada,0,0,Los Chillos,Robo a personas,2.7253125,1,0
6,2025-07-08,7,martes,1,12,Tarde,0,0,Aeropuerto,Vandalismo,1.25685,3,0
7,2025-01-21,1,martes,1,3,Madrugada,0,0,Eloy Alfaro,Incidente de tránsito,3.3665625000000006,3,0
8,2025-04-13,4,domingo,6,4,Madrugada,1,0,Quitumbe,Emergencia comunitaria,2.6774999999999998,2,0
9,2025-05-02,5,viernes,4,21,Noche,0,0,Eugenio Espejo,Robo a personas,5.4027,9,1
10,2025-08-03,8,domingo,6,3,Madrugada,1,0,Eugenio Espejo,Robo a personas,4.0753125,2,0
11,2025-11-27,11,jueves,3,17,Tarde,0,0,Manuela Sáenz,Robo a personas,4.649062499999999,5,1
12,2025-03-29,3,sábado,5,5,Madrugada,1,0,Quitumbe,Alteración del orden público,3.5100000000000002,3,0
13,2025-04-10,4,jueves,3,23,Noche,0,0,Aeropuerto,Alteración del orden público,1.4962499999999999,3,0
14,2025-12-26,12,viernes,4,23,Noche,0,0,La Delicia,Incidente de tránsito,2.2680000000000002,0,0
15,2025-06-01,6,domingo,6,22,Noche,1,0,Eloy Alfaro,Robo de autopartes,2.9342250000000005,1,0
16,2025-05-11,5,domingo,6,21,Noche,1,0,Quitumbe,Robo de vehículos,4.3848,4,1
17,2025-05-30,5,viernes,4,1,Madrugada,0,0,Eugenio Espejo,Alteración del orden público,4.3125,6,1
18,2025-11-05,11,miércoles,2,22,Noche,0,0,Los Chillos,Vandalismo,1.30815,2,0
19,2025-09-15,9,lunes,0,10,Mañana,0,0,La Delicia,Incidente de tránsito,1.7955,1,0
20,2025-12-10,12,miércoles,2,13,Tarde,0,0,Manuela Sáenz,Vandalismo,2.2443750000000002,1,0
21,2025-10-21,10,martes,1,4,Madrugada,0,0,Manuela Sáenz,Robo de autopartes,3.4140625,3,0
22,2025-07-11,7,viernes,4,5,Madrugada,0,0,Tumbaco,Alteración del orden público,2.025,0,0
23,2025-10-04,10,sábado,5,9,Mañana,1,0,Manuela Sáenz,Vandalismo,2.6325,2,0
24,2025-06-10,6,martes,1,7,Mañana,0,0,Tumbaco,Robo de autopartes,1.802625,2,0
25,2025-11-10,11,lunes,0,13,Tarde,0,0,Manuela Sáenz,Robo a personas,3.3665625,1,0
26,2025-01-22,1,miércoles,2,23,Noche,0,0,Eugenio Espejo,Robo a personas,2.654775,2,0
27,2025-09-10,9,miércoles,2,2,Madrugada,0,0,La Delicia,Robo a personas,3.20625,3,0
28,2025-08-24,8,domingo,6,11,Mañana,1,0,Aeropuerto,Emergencia comunitaria,1.12455,2,0
29,2025-12-11,12,jueves,3,15,Tarde,0,0,Aeropuerto,Robo a personas,1.6159499999999998,4,1
30,2025-02-18,2,martes,1,22,Noche,0,0,Manuela Sáenz,Robo de vehículos,2.565,4,1
31,2025-02-28,2,viernes,4,16,Tarde,0,0,Eugenio Espejo,Robo de vehículos,2.9808,5,1
32,2025-06-19,6,jueves,3,0,Madrugada,0,0,Eloy Alfaro,Alteración del orden público,4.0078125,6,1
33,2025-07-07,7,lunes,0,22,Noche,0,0,La Delicia,Robo de autopartes,1.9664999999999997,3,0
34,2025-09-28,9,domingo,6,9,Mañana,1,0,La Delicia,Alteración del orden público,2.3625000000000003,5,1
35,2025-07-09,7,miércoles,2,22,Noche,0,0,Los Chillos,Robo a personas,1.962225,0,0
36,2025-06-24,6,martes,1,9,Mañana,0,0,Aeropuerto,Robo a personas,1.6159499999999998,1,0
37,2025-02-20,2,jueves,3,20,Noche,0,0,Eugenio Espejo,Robo de autopartes,3.643487499999999,4,1
38,2025-12-30,12,martes,1,23,Noche,0,0,La Delicia,Robo de vehículos,2.052,0,0
39,2025-02-24,2,lunes,0,1,Madrugada,0,0,Los Chillos,Robo de vehículos,2.4225,2,0
40,2025-09-01,9,lunes,0,8,Mañana,0,0,Tumbaco,Robo a personas,2.1161250000000003,2,0
41,2025-11-16,11,domingo,6,21,Noche,1,0,Eloy Alfaro,Incidente de tránsito,4.3162875000000005,12,1
42,2025-05-11,5,domingo,6,12,Tarde,1,0,Eugenio Espejo,Alteración del orden público,3.1696875,1,0
43,2025-11-03,11,lunes,0,15,Tarde,0,1,La Delicia,Robo a personas,2.7702,2,0
44,2025-05-15,5,jueves,3,17,Tarde,0,0,Manuela Sáenz,Robo a personas,4.649062499999999,5,1
45,2025-01-21,1,martes,1,18,Noche,0,0,Manuela Sáenz,Incidente de tránsito,3.6159375,6,1
46,2025-11-25,11,martes,1,11,Mañana,0,0,Eloy Alfaro,Alteración del orden público,2.885625,4,1
47,2025-06-16,6,lunes,0,7,Mañana,0,0,Calderón,Robo de autopartes,2.2833249999999996,1,0
48,2025-10-01,10,miércoles,2,16,Tarde,0,0,Manuela Sáenz,Emergencia comunitaria,1.816875,3,0
49,2025-03-30,3,domingo,6,14,Tarde,1,0,Eloy Alfaro,Emergencia comunitaria,2.5302375,2,0
50,2025-11-12,11,miércoles,2,9,Mañana,0,0,Manuela Sáenz,Emergencia comunitaria,1.816875,3,0
51,2025-01-14,1,martes,1,14,Tarde,0,0,Tumbaco,Robo de autopartes,1.7206875,0,0
52,2025-08-30,8,sábado,5,14,Tarde,1,0,Los Chillos,Robo de autopartes,2.668575,1,0
53,2025-09-22,9,lunes,0,22,Noche,0,0,La Delicia,Robo a personas,2.3085,1,0
54,2025-12-12,12,viernes,4,6,Mañana,0,0,La Delicia,Incidente de tránsito,2.7720000000000007,1,0
55,2025-02-22,2,sábado,5,12,Tarde,1,0,Aeropuerto,Alteración del orden público,2.3887500000000004,3,0
56,2025-12-06,12,sábado,5,16,Tarde,1,0,Manuela Sáenz,Robo a personas,3.9487500000000004,3,0
57,2025-04-02,4,miércoles,2,8,Mañana,0,0,Manuela Sáenz,Incidente de tránsito,2.743125,6,1
58,2025-09-21,9,domingo,6,7,Mañana,1,0,Eugenio Espejo,Incidente de tránsito,2.7893250000000003,4,1
59,2025-02-04,2,martes,1,19,Noche,0,0,Manuela Sáenz,Incidente de tránsito,3.6159375,4,1
60,2025-07-25,7,viernes,4,20,Noche,0,0,Eugenio Espejo,Vandalismo,3.6017999999999994,4,1
61,2025-03-22,3,sábado,5,17,Tarde,1,0,Los Chillos,Incidente de tránsito,3.364725,4,1
62,2025-02-19,2,miércoles,2,12,Tarde,0,0,Quitumbe,Robo de vehículos,2.8728,6,1
63,2025-12-26,12,viernes,4,15,Tarde,0,0,La Delicia,Vandalismo,1.944,1,0
64,2025-01-02,1,jueves,3,8,Mañana,0,0,Aeropuerto,Vandalismo,1.3167,3,0
65,2025-02-23,2,domingo,6,11,Mañana,1,0,Eloy Alfaro,Robo a personas,3.4445250000000005,4,1
66,2025-04-16,4,miércoles,2,11,Mañana,0,0,Manuela Sáenz,Robo a personas,2.885625,6,1
67,2025-09-17,9,miércoles,2,5,Madrugada,0,0,Quitumbe,Incidente de tránsito,2.1546000000000003,0,0
68,2025-11-06,11,jueves,3,18,Noche,0,0,Quitumbe,Robo de vehículos,3.9672,3,0
69,2025-07-10,7,jueves,3,6,Mañana,0,0,Eloy Alfaro,Vandalismo,2.53935,2,0
70,2025-08-06,8,miércoles,2,2,Madrugada,0,0,La Delicia,Robo a personas,3.20625,3,0
71,2025-02-13,2,jueves,3,15,Tarde,0,0,Calderón,Robo a personas,2.193075,3,0
72,2025-06-11,6,miércoles,2,17,Tarde,0,0,Calderón,Robo de autopartes,3.009837499999999,6,1
73,2025-07-21,7,lunes,0,15,Tarde,0,0,Quitumbe,Robo a personas,2.7702000000000004,8,1
74,2025-09-27,9,sábado,5,22,Noche,1,0,Eugenio Espejo,Alteración del orden público,3.36375,2,0
75,2025-12-17,12,miércoles,2,6,Mañana,0,0,Eloy Alfaro,Alteración del orden público,3.526875,7,1
76,2025-10-31,10,viernes,4,3,Madrugada,0,0,La Delicia,Robo a personas,4.05,10,1
77,2025-09-28,9,domingo,6,7,Mañana,1,0,Eloy Alfaro,Robo a personas,4.209975000000001,2,0
78,2025-08-03,8,domingo,6,12,Tarde,1,0,Aeropuerto,Robo de vehículos,1.8522,1,0
79,2025-09-09,9,martes,1,12,Tarde,0,0,La Delicia,Robo a personas,2.6932500000000004,4,1
80,2025-07-09,7,miércoles,2,16,Tarde,0,0,Eugenio Espejo,Emergencia comunitaria,1.6715249999999997,3,0
81,2025-10-23,10,jueves,3,16,Tarde,0,0,Tumbaco,Robo de autopartes,1.474875,0,0
82,2025-08-01,8,viernes,4,4,Madrugada,0,0,La Delicia,Robo a personas,4.05,3,0
83,2025-07-27,7,domingo,6,5,Madrugada,1,0,Eugenio Espejo,Robo de autopartes,2.4995249999999998,1,0
84,2025-08-25,8,lunes,0,18,Noche,0,0,Tumbaco,Robo a personas,2.7894375,3,0
85,2025-12-04,12,jueves,3,12,Tarde,0,0,Los Chillos,Robo a personas,2.2892624999999995,1,0
86,2025-02-22,2,sábado,5,13,Tarde,1,0,Calderón,Robo a personas,3.501225,3,0
87,2025-10-07,10,martes,1,21,Noche,0,0,Eloy Alfaro,Vandalismo,3.347325,3,0
88,2025-08-05,8,martes,1,3,Madrugada,0,0,Quitumbe,Incidente de tránsito,2.9924999999999997,6,1
89,2025-09-09,9,martes,1,6,Mañana,0,0,Tumbaco,Vandalismo,1.4107500000000002,1,0
90,2025-07-07,7,lunes,0,7,Mañana,0,0,Eloy Alfaro,Robo de vehículos,3.3858,3,0
91,2025-02-10,2,lunes,0,12,Tarde,0,0,Manuela Sáenz,Robo de vehículos,2.9925,2,0
92,2025-06-06,6,viernes,4,5,Madrugada,0,0,Los Chillos,Alteración del orden público,2.295,4,1
93,2025-01-15,1,miércoles,2,5,Madrugada,0,0,Eloy Alfaro,Emergencia comunitaria,1.962225,3,0
94,2025-10-28,10,martes,1,23,Noche,0,0,Tumbaco,Incidente de tránsito,1.3466250000000002,2,0
95,2025-03-06,3,jueves,3,20,Noche,0,0,La Delicia,Robo a personas,3.7192499999999997,7,1
96,2025-12-11,12,jueves,3,2,Madrugada,0,0,La Delicia,Robo a personas,3.20625,2,0
97,2025-11-23,11,domingo,6,2,Madrugada,1,0,Eloy Alfaro,Alteración del orden público,4.4296875,2,0
98,2025-01-09,1,jueves,3,12,Tarde,0,0,Tumbaco,Vandalismo,1.3466250000000002,3,0
99,2025-12-10,12,miércoles,2,21,Noche,0,0,Eugenio Espejo,Vandalismo,2.8514249999999994,3,0
100,2025-05-09,5,viernes,4,1,Madrugada,0,0,Quitumbe,Alteración del orden público,4.5,4,1
101,2025-05-16,5,viernes,4,15,Tarde,0,0,Calderón,Incidente de tránsito,2.1546,3,0
102,2025-03-04,3,martes,1,21,Noche,0,1,Calderón,Robo de autopartes,3.6118049999999986,3,0
103,2025-05-19,5,lunes,0,5,Madrugada,0,0,Aeropuerto,Incidente de tránsito,1.2568499999999998,1,0
104,2025-03-22,3,sábado,5,7,Mañana,1,0,Quitumbe,Incidente de tránsito,3.6036000000000006,4,1
105,2025-06-12,6,jueves,3,22,Noche,0,0,Eugenio Espejo,Vandalismo,1.76985,2,0
106,2025-10-16,10,jueves,3,7,Mañana,0,0,Aeropuerto,Robo de vehículos,1.7556,0,0
107,2025-09-18,9,jueves,3,5,Madrugada,0,0,Calderón,Robo a personas,2.193075,1,0
108,2025-08-19,8,martes,1,13,Tarde,0,0,Eugenio Espejo,Alteración del orden público,2.8678125000000003,3,0
109,2025-02-10,2,lunes,0,2,Madrugada,0,0,Eloy Alfaro,Robo de autopartes,3.6871875,5,1
110,2025-01-28,1,martes,1,9,Mañana,0,0,Los Chillos,Vandalismo,1.30815,1,0
111,2025-05-15,5,jueves,3,2,Madrugada,0,0,Eugenio Espejo,Robo a personas,3.6871875,8,1
112,2025-07-20,7,domingo,6,11,Mañana,1,0,Calderón,Robo de vehículos,2.1546000000000003,0,0
113,2025-11-24,11,lunes,0,16,Tarde,0,0,La Delicia,Emergencia comunitaria,1.4535,0,0
114,2025-09-25,9,jueves,3,4,Madrugada,0,0,Manuela Sáenz,Robo a personas,4.0078125,2,0
115,2025-02-02,2,domingo,6,19,Noche,1,0,Quitumbe,Robo de vehículos,4.3848,1,0
116,2025-02-17,2,lunes,0,8,Mañana,0,0,Eloy Alfaro,Robo de vehículos,3.3858,5,1
117,2025-03-03,3,lunes,0,20,Noche,0,1,La Delicia,Alteración del orden público,4.132499999999999,6,1
118,2025-08-04,8,lunes,0,19,Noche,0,0,Quitumbe,Robo a personas,4.4631,2,0
119,2025-10-20,10,lunes,0,6,Mañana,0,0,La Delicia,Vandalismo,1.881,2,0
120,2025-04-09,4,miércoles,2,21,Noche,0,0,Tumbaco,Robo de autopartes,2.3761874999999995,4,1
121,2025-06-21,6,sábado,5,3,Madrugada,1,0,Los Chillos,Incidente de tránsito,2.900625,3,0
122,2025-12-26,12,viernes,4,12,Tarde,0,0,Tumbaco,Robo de autopartes,2.1734999999999998,1,0
123,2025-08-02,8,sábado,5,12,Tarde,1,0,Eloy Alfaro,Robo de vehículos,4.422600000000001,1,0
124,2025-02-04,2,martes,1,9,Mañana,0,0,Manuela Sáenz,Robo a personas,2.885625,4,1
125,2025-08-15,8,viernes,4,17,Tarde,0,0,Quitumbe,Robo a personas,5.6376,7,1
126,2025-04-11,4,viernes,4,16,Tarde,0,0,Aeropuerto,Alteración del orden público,1.89,1,0
127,2025-05-11,5,domingo,6,19,Noche,1,0,Los Chillos,Robo a personas,3.4941375000000003,4,1
128,2025-09-14,9,domingo,6,19,Noche,1,0,Los Chillos,Robo de autopartes,2.9764874999999997,2,0
129,2025-01-05,1,domingo,6,12,Tarde,1,0,Eugenio Espejo,Alteración del orden público,3.1696875,6,1
130,2025-08-06,8,miércoles,2,16,Tarde,0,0,La Delicia,Robo de vehículos,2.052,1,0
131,2025-09-12,9,viernes,4,21,Noche,0,0,La Delicia,Robo a personas,4.6979999999999995,6,1
132,2025-12-25,12,jueves,3,3,Madrugada,0,1,Manuela Sáenz,Emergencia comunitaria,3.0281249999999997,4,1
133,2025-10-10,10,viernes,4,0,Madrugada,0,0,Eloy Alfaro,Incidente de tránsito,4.2525,9,1
134,2025-07-26,7,sábado,5,0,Madrugada,1,0,Aeropuerto,Robo a personas,3.07125,3,0
135,2025-01-15,1,miércoles,2,14,Tarde,0,0,Manuela Sáenz,Robo a personas,3.3665625,3,0
136,2025-12-12,12,viernes,4,12,Tarde,0,0,Manuela Sáenz,Incidente de tránsito,3.3075,5,1
137,2025-02-11,2,martes,1,16,Tarde,0,0,Eloy Alfaro,Robo a personas,3.1164750000000003,2,0
138,2025-06-28,6,sábado,5,23,Noche,1,0,Aeropuerto,Incidente de tránsito,1.7199,0,0
139,2025-03-04,3,martes,1,7,Mañana,0,1,Quitumbe,Robo a personas,4.06296,2,0
140,2025-12-18,12,jueves,3,17,Tarde,0,0,Calderón,Vandalismo,2.3555249999999996,3,0
141,2025-08-19,8,martes,1,12,Tarde,0,0,Los Chillos,Robo de vehículos,2.0349000000000004,2,0
142,2025-08-29,8,viernes,4,22,Noche,0,0,Eugenio Espejo,Incidente de tránsito,2.6082,2,0
143,2025-02-21,2,viernes,4,13,Tarde,0,0,Quitumbe,Robo de vehículos,3.6288,1,0
144,2025-04-06,4,domingo,6,7,Mañana,1,0,Eloy Alfaro,Alteración del orden público,3.8981250000000007,5,1
145,2025-08-10,8,domingo,6,7,Mañana,1,1,Manuela Sáenz,Robo a personas,4.6777500000000005,4,1
146,2025-08-19,8,martes,1,14,Tarde,0,0,Los Chillos,Robo de vehículos,2.0349000000000004,4,1
147,2025-08-25,8,lunes,0,12,Tarde,0,0,Tumbaco,Emergencia comunitaria,1.2718124999999998,0,0
148,2025-05-23,5,viernes,4,6,Mañana,0,0,Eugenio Espejo,Robo de autopartes,3.4914,1,0
149,2025-06-20,6,viernes,4,4,Madrugada,0,0,Eugenio Espejo,Incidente de tránsito,3.6224999999999996,4,1
150,2025-01-29,1,miércoles,2,16,Tarde,0,0,Quitumbe,Robo de autopartes,2.3598,1,0
151,2025-02-05,2,miércoles,2,15,Tarde,0,0,Eloy Alfaro,Vandalismo,2.07765,3,0
